Data,Method,Parc,R,CIs_R_1,CIs_R_2,MAE,CIs_MAE_1,CIs_MAE_2,Delta_R,CIs_Delta_R_1,CIs_Delta_R_2,Delta_MAE,CIs_Delta_MAE_1,CIs_Delta_MAE_2
Age_gender_scanner_TBrainVolume,glmnet,NaN,0.13436313210829,0.0331675070642801,0.234915290477421,7.09625473037277,6.51681744048091,7.69715845007967,NaN,NaN,NaN,NaN,NaN,NaN
Age_gender_scanner_TBrainVolume,randomF,NaN,0.138240785262959,0.0363134725718156,0.239961129580294,7.11538519419207,6.59653950467091,7.69160984425783,NaN,NaN,NaN,NaN,NaN,NaN
Age_gender_scanner_TBrainVolume,SVR,NaN,0.153839698840634,0.0524409844497156,0.254638228890873,7.04676067794407,6.44151098675354,7.64377062545322,NaN,NaN,NaN,NaN,NaN,NaN
Age_gender_scanner_TBrainVolume,Xgboost,NaN,0.096929413206335,-0.00121462365438867,0.187410202927235,7.37987065128496,6.82966139671385,7.97792447640441,NaN,NaN,NaN,NaN,NaN,NaN
Age_gender_scanner_TBrainVolume_Contrast,glmnet,160,0.136219391705225,0.0411939048722337,0.233845995972913,7.06920450306922,6.48643670925533,7.62615743518253,0.00185625959693492,-0.133464743868182,0.148670904690064,-0.0270502273035493,-0.915111477985968,0.82544310073006
Age_gender_scanner_TBrainVolume_Contrast,randomF,160,0.118248997605742,0.0257308011484692,0.218656589873662,7.13474713914453,6.58451762586839,7.7127493723288,-0.0199917876572168,-0.165378943458789,0.129258095192186,0.0193619449524585,-0.865566971940388,0.802978970491232
Age_gender_scanner_TBrainVolume_Contrast,SVR,160,0.0116122800173961,-0.074638273162361,0.0878943924995238,7.17921009542528,6.58618417806178,7.79217124770749,-0.142227418823238,-0.251868523883593,-0.00495921647299614,0.132449417481212,-0.7411773840598,0.888918689160518
Age_gender_scanner_TBrainVolume_Contrast,Xgboost,160,0.134385635040346,0.0370431651371304,0.231509898355615,7.25458056867615,6.67190799240238,7.86516277849182,0.0374562218340114,-0.0863187110934918,0.181401556790763,-0.125290082608805,-1.04387212916182,0.736899289217862
Age_gender_scanner_TBrainVolume_Contrast,glmnet,640,0.149880887203914,0.0405645842121761,0.251146512210539,7.02311397131234,6.45753574677918,7.63175322710458,0.015517755095624,-0.1211228707277,0.158843813116962,-0.0731407590604309,-0.988196240140814,0.725116701328609
Age_gender_scanner_TBrainVolume_Contrast,randomF,640,0.0752117043558817,-0.0113934791824947,0.172052583094349,7.13504184289042,6.55690811350146,7.80192039787971,-0.063029080907077,-0.195767751708384,0.0817528460589269,0.0196566486983523,-0.892153826647335,0.74062466635165
Age_gender_scanner_TBrainVolume_Contrast,SVR,640,0.120411954226581,0.0187187463638322,0.230829851459627,7.01109103774132,6.43857262722876,7.61214196835977,-0.0334277446140533,-0.16184522107789,0.126730020572588,-0.0356696402027437,-0.997620897368062,0.712978756163132
Age_gender_scanner_TBrainVolume_Contrast,Xgboost,640,0.106536965297489,0.0056742659631988,0.200203552171494,7.18975048222818,6.5888064833712,7.75784802502509,0.0096075520911543,-0.12516913186756,0.159043944425326,-0.19012016905678,-1.05430439089941,0.654503425619162
Age_gender_scanner_TBrainVolume_Contrast,glmnet,2560,0.157299398976746,0.0544735576778983,0.262494540928613,7.01935385006801,6.43858109763505,7.65803270003387,0.022936266868456,-0.104154682814429,0.181534977370254,-0.0769008803047635,-0.948561311224917,0.726134835125707
Age_gender_scanner_TBrainVolume_Contrast,randomF,2560,0.0629629618644215,-0.0277957824183922,0.160887376455781,7.14930788151088,6.57232958107113,7.75287237888844,-0.0752778233985373,-0.219425946495479,0.0578937386137662,0.033922687318805,-0.847335307872488,0.757749980048479
Age_gender_scanner_TBrainVolume_Contrast,SVR,2560,0.12320414136128,0.0232845317215291,0.223762435016227,7.05952181394039,6.4800270817095,7.6384029820773,-0.0306355574793538,-0.160674724474122,0.121830184843975,0.0127611359963193,-0.894122639332501,0.795090227625399
Age_gender_scanner_TBrainVolume_Contrast,Xgboost,2560,0.0876618072632113,-0.0139953892145379,0.182698529821567,7.21505169829061,6.59945112811632,7.81712993380124,-0.00926760594312379,-0.146285856413485,0.145690500447388,-0.164818952994345,-0.972733258544249,0.634173353841482
Age_gender_scanner_TBrainVolume_Contrast,glmnet,AAL,0.0193023447499043,-0.0843033850125998,0.119318377897712,7.21748930825783,6.64136780461932,7.79262447526092,-0.115060787358386,-0.246754130854208,0.0352793085219946,0.121234577885058,-0.716337513011216,0.914661160013387
Age_gender_scanner_TBrainVolume_Contrast,randomF,AAL,0.0909337210209008,-0.0114308666869735,0.189926516303705,7.17350167576609,6.59851102131684,7.76774097864764,-0.047307064242058,-0.178263816734576,0.102306011214937,0.0581164815740216,-0.71928018490885,0.781918626908385
Age_gender_scanner_TBrainVolume_Contrast,SVR,AAL,-0.0195115312292642,-0.120323940945286,0.0915042800212585,7.18688308320211,6.5728606920996,7.7787855424878,-0.173351230069898,-0.314616994218739,-0.0138932335545097,0.14012240525804,-0.762797890526428,0.88553473424521
Age_gender_scanner_TBrainVolume_Contrast,Xgboost,AAL,0.11617096818365,0.0171608152760851,0.222942579091288,7.31569256532948,6.74095338763613,7.90562675413021,0.0192415549773145,-0.125332765777642,0.1722349155553,-0.0641780859554819,-0.920753436968675,0.704707642232091
Age_gender_scanner_TBrainVolume_CT,glmnet,160,0.119073439746069,0.0247023619770369,0.220081550480584,7.11140249844361,6.58064078554229,7.66421610493998,-0.015289692362221,-0.143199056112529,0.135565716061521,0.0151477680708432,-0.878827299075759,0.795776616007194
