Data,Method,Parc,R,CIs_R_1,CIs_R_2,MAE,CIs_MAE_1,CIs_MAE_2,Delta_R,CIs_Delta_R_1,CIs_Delta_R_2,Delta_MAE,CIs_Delta_MAE_1,CIs_Delta_MAE_2
Age_gender_scanner,glmnet,NaN,-0.0599674211602868,-0.0920629538187828,-0.0270442185315342,7.21295990335752,7.04334415354978,7.36654415655346,NaN,NaN,NaN,NaN,NaN,NaN
Age_gender_scanner,randomF,NaN,-0.108554998935068,-0.141208057955873,-0.0759074179641337,7.21830253922438,7.0400472643482,7.39775248252242,NaN,NaN,NaN,NaN,NaN,NaN
Age_gender_scanner,SVR,NaN,-0.0543055828987475,-0.0872422088693721,-0.0225109926688674,7.21237116888703,7.04178978182641,7.38197423639946,NaN,NaN,NaN,NaN,NaN,NaN
Age_gender_scanner,Xgboost,NaN,-0.0170913600087365,-0.0481375661250352,0.0135506850009063,7.22207685787476,7.05051000836268,7.39557932152556,NaN,NaN,NaN,NaN,NaN,NaN
Age_gender_scanner_TBrainVolume,glmnet,NaN,-0.00276240910920028,-0.032625864068702,0.0302890835836939,7.21222445704707,7.02234156111797,7.38498061959701,NaN,NaN,NaN,NaN,NaN,NaN
Age_gender_scanner_TBrainVolume,randomF,NaN,-0.0420240556929003,-0.0750391093229519,-0.0102757524284209,7.21665802025125,7.04220751630864,7.38307678075028,NaN,NaN,NaN,NaN,NaN,NaN
Age_gender_scanner_TBrainVolume,SVR,NaN,-0.0167193271245152,-0.0470388474857776,0.0124858373367873,7.20973330787619,7.03778661439015,7.39380094476305,NaN,NaN,NaN,NaN,NaN,NaN
Age_gender_scanner_TBrainVolume,Xgboost,NaN,-0.0173935219532502,-0.0454120555375923,0.0117675691660889,7.22780965970895,7.05105112211135,7.40331602233642,NaN,NaN,NaN,NaN,NaN,NaN
Age_gender_scanner_TBrainVolume_Contrast,glmnet,160,0.104356129075963,0.0745629715355671,0.136116140468759,7.17950507203713,6.99984740550947,7.3520922147294,0.107118538185163,0.0664076186128948,0.14733064086278,-0.0327193850099396,-0.0734028646706264,0.0070411512963906
Age_gender_scanner_TBrainVolume_Contrast,randomF,160,0.0615727025526094,0.027635809913184,0.0911434693723321,7.2091427862789,7.03700184383808,7.37270935095482,0.10359675824551,0.0595051514180915,0.144676009969811,-0.00751523397235054,-0.0278564797355743,0.0145876484062804
Age_gender_scanner_TBrainVolume_Contrast,SVR,160,0.0459243188022563,0.0170686526158391,0.0754455202697495,7.20400140690685,7.02503537156091,7.37329692107976,0.0626436459267715,0.0225163761896233,0.100881987609273,-0.00573190096933729,-0.0227390359551332,0.0117277720182725
Age_gender_scanner_TBrainVolume_Contrast,Xgboost,160,0.0613448252682796,0.0278354810800649,0.0963592508443248,7.20909454234133,7.03794296124437,7.38383355884246,0.0787383472215299,0.0373934099795846,0.118445580317066,-0.0187151173676252,-0.0468624169340512,0.0111767858610956
Age_gender_scanner_TBrainVolume_Contrast,glmnet,640,0.0519020841866798,0.0229826364938636,0.085012734323968,7.2090889500067,7.03367182550213,7.36949202875586,0.0546644932958801,0.0135028143050463,0.0960198483493622,-0.00313550704037802,-0.0291052947641783,0.0233317026623614
Age_gender_scanner_TBrainVolume_Contrast,randomF,640,0.0752843757512844,0.0425911979624897,0.107124078351887,7.19596653848331,7.02611074232417,7.37442273327727,0.117308431444185,0.0722025703229467,0.161855330892995,-0.0206914817679467,-0.0406247380465512,0.00203754390093103
Age_gender_scanner_TBrainVolume_Contrast,SVR,640,-0.0156055361440652,-0.049120626248074,0.0157104517178652,7.20883995818507,7.02218814644609,7.39462201781991,0.00111379098044997,-0.0329502579383837,0.0351082747193237,-0.000893349691120093,-0.00389890640227986,0.00188036642092992
Age_gender_scanner_TBrainVolume_Contrast,Xgboost,640,0.0759962992850742,0.0430228272734853,0.110143058875101,7.19952913911339,7.03243551171399,7.36988365265469,0.0933898212383244,0.051679224089317,0.138708571188839,-0.0282805205955654,-0.0580008923661204,0.00202175191829745
Age_gender_scanner_TBrainVolume_Contrast,glmnet,2560,0.0460425260067036,0.0157303136838386,0.0774777301424321,7.21879926160658,7.05236572981948,7.39795371322182,0.0488049351159038,0.00691017094703685,0.0919589061628462,0.00657480455950576,-0.021857574992219,0.0377342375872107
Age_gender_scanner_TBrainVolume_Contrast,randomF,2560,0.0827230491325814,0.0494551588719155,0.117534831875246,7.19232784127078,7.02078404272084,7.36484549635582,0.124747104825482,0.0818210200180712,0.170714922408624,-0.0243301789804784,-0.0448158082214096,-0.00507068189653781
Age_gender_scanner_TBrainVolume_Contrast,SVR,2560,-0.0324777736078851,-0.0655086462324296,0.00136426023397277,7.20967946335396,7.02788571687428,7.38889825581402,-0.0157584464833699,-0.0422770797864394,0.0101508677516878,-5.38445222346695e-05,-0.00178838791752067,0.0017996067350361
Age_gender_scanner_TBrainVolume_Contrast,Xgboost,2560,0.0953261826568095,0.0641751533307495,0.128144463298325,7.18599008884207,7.01623742906553,7.3537699138436,0.11271970461006,0.0696333496697749,0.15583165816206,-0.0418195708668829,-0.0736868469707899,-0.0118401247608579
Age_gender_scanner_TBrainVolume_Contrast,glmnet,AAL,0.0488703787922117,0.0161561704392224,0.0792287517348377,7.21301960655671,7.03955071827156,7.3896747447075,0.051632787901412,0.0108182417801994,0.0909074853952136,0.000795149509631443,-0.0231701067691472,0.0238372795338062
